Wall time,Step,Value
1773606092.47243,400,12.99603271484375
1773606114.431477,800,13.913512229919434
1773606139.183677,1200,12.765830993652344
1773606155.770727,1600,12.04762077331543
1773606173.274276,2000,13.033204078674316
1773606194.026597,2400,13.441155433654785
1773606211.5889359,2800,12.967018127441406
1773606231.3276958,3200,13.05978775024414
1773606254.871197,3600,13.272745132446289
1773606274.73439,4000,13.212532997131348
1773606293.178505,4400,14.380695343017578
1773606311.6172538,4800,14.30318546295166
1773606337.371609,5200,15.253094673156738
1773606356.82923,5600,11.749090194702148
1773606375.06174,6000,12.138873100280762
1773606389.531487,6400,12.29340648651123
1773606403.826838,6800,15.197454452514648
1773606421.552863,7200,13.522927284240723
1773606440.185209,7600,15.657052040100098
1773606459.455646,8000,11.929634094238281
1773606479.596191,8400,13.6334228515625
1773606495.180162,8800,12.187597274780273
1773606509.952446,9200,13.289078712463379
1773606524.81603,9600,13.314860343933105
1773606551.969265,10000,12.615934371948242
1773606572.123171,10400,13.84397029876709
1773606587.815545,10800,13.506288528442383
1773606601.263689,11200,12.678938865661621
1773606616.270737,11600,11.944512367248535
1773606634.555447,12000,12.961081504821777
1773606649.287421,12400,12.347609519958496
1773606668.425745,12800,13.083099365234375
1773606683.669558,13200,12.731405258178711
1773606697.692267,13600,12.256598472595215
1773606713.08271,14000,16.103090286254883
1773606731.836114,14400,11.979301452636719
1773606748.610743,14800,13.50887680053711
1773606769.0156548,15200,13.761122703552246
1773606783.348164,15600,13.234210968017578
1773606798.9116979,16000,12.839656829833984
1773606817.707364,16400,13.866968154907227
1773606831.851268,16800,12.440471649169922
1773606846.1492019,17200,13.206377029418945
1773606860.737768,17600,14.993666648864746
1773606874.177723,18000,14.62244987487793
1773606887.9524632,18400,15.067851066589355
1773606903.594053,18800,14.665390014648438
1773606918.2185001,19200,14.161785125732422
1773606934.349617,19600,11.74572467803955
1773606958.443756,20000,13.888862609863281
1773606972.3538072,20400,12.545154571533203
1773606990.938519,20800,11.951213836669922
1773607007.174598,21200,12.683072090148926
1773607022.8317068,21600,11.844804763793945
1773607039.5094888,22000,14.715192794799805
1773607059.434295,22400,12.693757057189941
1773607074.4525251,22800,13.053972244262695
1773607090.423473,23200,13.055412292480469
1773607108.4608068,23600,14.233467102050781
1773607126.609771,24000,14.791711807250977
1773607140.0108318,24400,13.33182144165039
1773607153.658417,24800,13.286251068115234
1773607175.803207,25200,12.262564659118652
1773607192.858176,25600,12.526724815368652
1773607209.129245,26000,13.802106857299805
1773607223.707493,26400,13.60110855102539
1773607237.301163,26800,12.292820930480957
1773607251.700109,27200,12.44899845123291
1773607267.788207,27600,12.109374046325684
1773607282.036834,28000,12.677987098693848
1773607297.8117461,28400,15.010564804077148
1773607311.542818,28800,11.68951416015625
1773607325.776432,29200,13.209334373474121
1773607345.133991,29600,13.620904922485352
1773607374.730495,30000,13.605586051940918
1773607390.934747,30400,12.197725296020508
1773607406.8787851,30800,12.023372650146484
1773607422.023486,31200,14.19099235534668
1773607435.4433658,31600,14.931212425231934
1773607448.283884,32000,15.448554992675781
1773607463.32191,32400,13.647116661071777
1773607476.5114381,32800,13.898175239562988
1773607490.7293491,33200,12.60101318359375
1773607507.8958468,33600,12.0812349319458
1773607521.9664268,34000,13.26305866241455
1773607534.8572931,34400,11.781543731689453
1773607551.693939,34800,14.16342544555664
1773607572.8958201,35200,12.433724403381348
1773607590.4205701,35600,13.020903587341309
1773607606.252952,36000,12.174430847167969
1773607623.815516,36400,12.189245223999023
1773607640.2974348,36800,14.525065422058105
1773607653.847179,37200,13.288992881774902
1773607669.7848241,37600,12.998440742492676
1773607687.44528,38000,12.159404754638672
1773607703.594229,38400,13.073993682861328
1773607720.1570299,38800,12.597771644592285
1773607738.977909,39200,15.66872787475586
1773607758.592451,39600,12.656938552856445
1773607778.538678,40000,12.375099182128906
1773607791.848597,40400,14.683905601501465
1773607805.3582752,40800,13.597777366638184
1773607819.868623,41200,12.375438690185547
1773607841.379822,41600,12.253267288208008
1773607855.7286851,42000,12.947153091430664
1773607871.214328,42400,12.711921691894531
1773607887.875956,42800,13.800823211669922
1773607906.407958,43200,13.429313659667969
1773607922.406732,43600,12.453673362731934
1773607946.412569,44000,12.203756332397461
1773607963.1680372,44400,13.640030860900879
1773607982.50449,44800,13.217245101928711
1773608004.554414,45200,14.013387680053711
1773608021.2365062,45600,13.281498908996582
1773608039.303777,46000,12.518167495727539
1773608054.326265,46400,12.472858428955078
