Wall time,Step,Value
1776289692.662839,400,22.217300415039062
1776289710.000437,800,29.472835540771484
1776289722.918995,1200,26.46775245666504
1776289737.8245409,1600,25.923004150390625
1776289755.3239198,2000,28.004169464111328
1776289766.5739572,2400,28.759416580200195
1776289790.89606,2800,28.585956573486328
1776289806.774564,3200,28.106063842773438
1776289822.05742,3600,27.48576545715332
1776289845.8499782,4000,26.5248966217041
1776289860.87436,4400,26.913171768188477
1776289874.983279,4800,26.670211791992188
1776289895.762917,5200,26.65778160095215
1776289913.090633,5600,26.575483322143555
1776289932.232374,6000,26.68560028076172
1776289947.392245,6400,26.850929260253906
1776289961.613154,6800,26.958406448364258
1776289975.819948,7200,27.09682846069336
1776289992.277962,7600,27.013948440551758
1776290004.5111911,8000,26.573442459106445
1776290021.195145,8400,26.77722930908203
1776290034.92918,8800,27.158329010009766
1776290046.923248,9200,27.358633041381836
1776290059.682656,9600,27.50475311279297
1776290078.282539,10000,27.563676834106445
1776290092.076855,10400,27.886524200439453
1776290105.495754,10800,27.99082374572754
1776290118.468467,11200,28.873506546020508
1776290131.3836968,11600,29.77220916748047
1776290141.7659972,12000,29.337337493896484
1776290151.547379,12400,28.9636287689209
1776290163.483469,12800,29.39266014099121
1776290175.054993,13200,30.14290428161621
1776290184.649111,13600,30.4844913482666
1776290198.62914,14000,31.563901901245117
1776290208.127661,14400,32.24518966674805
1776290219.5294871,14800,32.79399871826172
1776290236.551096,15200,33.1012077331543
1776290251.67224,15600,33.48419189453125
1776290263.946146,16000,33.91050338745117
1776290273.277247,16400,34.461875915527344
1776290284.482482,16800,35.233734130859375
1776290294.386073,17200,36.07322692871094
1776290303.5725272,17600,37.62525939941406
1776290315.0769951,18000,39.47821044921875
1776290326.289904,18400,40.54887008666992
1776290339.599522,18800,41.48765563964844
1776290351.911872,19200,42.26017761230469
1776290362.30463,19600,42.83068084716797
1776290376.931992,20000,43.86444091796875
1776290386.733835,20400,44.79267120361328
1776290396.2508008,20800,45.65965270996094
1776290407.2956219,21200,45.532344818115234
1776290424.264464,21600,45.71849822998047
1776290440.133748,22000,47.39029312133789
1776290455.2774029,22400,49.01739501953125
1776290466.566599,22800,49.80559158325195
1776290475.915775,23200,51.20796203613281
1776290485.149173,23600,52.43914031982422
1776290495.74825,24000,53.498809814453125
1776290506.828941,24400,54.03877639770508
1776290517.245645,24800,55.4214973449707
1776290535.509637,25200,57.10438919067383
1776290544.6527722,25600,57.71363067626953
1776290555.436745,26000,58.882511138916016
1776290570.4230652,26400,59.711334228515625
1776290583.624577,26800,60.979496002197266
1776290595.9762108,27200,62.21906280517578
1776290606.577368,27600,62.89616775512695
1776290616.83566,28000,62.52839660644531
1776290631.215924,28400,64.2513198852539
1776290641.312899,28800,65.35071563720703
1776290651.159332,29200,66.40643310546875
1776290660.673514,29600,67.24544525146484
1776290675.8499641,30000,68.21821594238281
1776290690.479198,30400,69.60076904296875
1776290701.305732,30800,70.72476959228516
1776290711.122976,31200,72.83364868164062
1776290720.926372,31600,74.71855163574219
1776290731.425972,32000,75.23116302490234
1776290741.488627,32400,75.60755920410156
1776290754.977865,32800,77.30585479736328
1776290765.6533902,33200,78.42105102539062
1776290777.982143,33600,79.73258972167969
1776290787.9105651,34000,80.4432144165039
1776290805.447007,34400,81.7877426147461
1776290818.5366871,34800,83.8975601196289
1776290833.281326,35200,85.19295501708984
1776290844.086079,35600,87.54254150390625
1776290856.965703,36000,88.83091735839844
1776290868.091316,36400,90.02623748779297
1776290877.281808,36800,91.66088104248047
1776290886.8636,37200,92.78535461425781
1776290899.0037591,37600,94.46833801269531
1776290909.2502558,38000,97.20935821533203
1776290918.8549151,38400,97.84577941894531
1776290929.522472,38800,99.25468444824219
1776290938.943329,39200,100.8086166381836
1776290948.719039,39600,102.60301971435547
1776290961.242226,40000,104.68142700195312
1776290972.1744032,40400,106.72440338134766
1776290982.3178089,40800,108.08914184570312
1776290992.019264,41200,109.7939453125
1776291002.7845929,41600,109.98303985595703
1776291012.1976361,42000,111.05763244628906
1776291024.5280378,42400,113.1937484741211
1776291033.8755488,42800,114.17926788330078
1776291044.349382,43200,115.36897277832031
1776291055.0241039,43600,115.66117095947266
1776291066.738924,44000,116.61544036865234
1776291077.167479,44400,117.9283218383789
1776291086.735085,44800,118.74079132080078
1776291101.458292,45200,119.6290283203125
1776291111.017035,45600,120.8416976928711
1776291121.412836,46000,121.9471206665039
1776291130.834353,46400,124.07261657714844
1776291140.136954,46800,124.60135650634766
1776291149.4919791,47200,125.57752990722656
1776291159.263857,47600,126.39203643798828
1776291170.159425,48000,126.75262451171875
1776291182.539865,48400,128.2613067626953
1776291192.7650921,48800,129.25184631347656
1776291202.2491488,49200,130.8649139404297
1776291211.5162969,49600,132.0658721923828
1776291225.9725041,50000,132.93362426757812
1776291238.427922,50400,133.19032287597656
1776291251.9997241,50800,134.09521484375
1776291264.132988,51200,134.5335693359375
1776291276.013254,51600,135.92271423339844
1776291287.343449,52000,137.87094116210938
1776291299.0278668,52400,138.6931610107422
1776291308.9530182,52800,139.25709533691406
1776291318.19731,53200,138.93252563476562
1776291327.6450539,53600,140.3394775390625
1776291336.860615,54000,141.8526611328125
1776291348.447041,54400,142.5885009765625
1776291360.26634,54800,142.7569580078125
1776291374.211423,55200,144.2388916015625
1776291386.058167,55600,144.98777770996094
1776291396.5388968,56000,145.15948486328125
1776291409.006216,56400,143.795166015625
1776291424.379518,56800,144.71444702148438
1776291437.880345,57200,145.25726318359375
1776291460.3284311,57600,144.5642852783203
1776291482.595724,58000,144.77073669433594
1776291494.825123,58400,144.4009552001953
1776291509.94167,58800,144.96572875976562
1776291526.906427,59200,144.40057373046875
1776291549.453908,59600,144.51800537109375
1776291577.767843,60000,143.6058349609375
1776291595.5518022,60400,143.42774963378906
1776291609.31739,60800,143.5099639892578
1776291624.152286,61200,143.23008728027344
1776291642.662815,61600,143.2275390625
1776291656.332932,62000,143.159912109375
1776291670.7821388,62400,143.15444946289062
1776291683.6420548,62800,143.62454223632812
1776291698.170073,63200,143.91700744628906
1776291710.872177,63600,143.81361389160156
1776291725.0977721,64000,143.68716430664062
1776291738.0022058,64400,143.14051818847656
1776291751.7239192,64800,143.38613891601562
