Wall time,Step,Value
1773866471.0056782,400,4.614724636077881
1773866491.8230221,800,6.010942459106445
1773866516.2114549,1200,5.416530609130859
1773866537.7888541,1600,2.825929880142212
1773866557.9071732,2000,0.7068619728088379
1773866579.377381,2400,-0.3800249993801117
1773866603.931757,2800,-2.0205986499786377
1773866627.4585059,3200,-2.077693462371826
1773866649.833421,3600,-1.9454693794250488
1773866671.824946,4000,-1.9980374574661255
1773866693.950868,4400,-1.1796531677246094
1773866715.2533708,4800,-1.5609681606292725
1773866743.151198,5200,-1.8445554971694946
1773866764.6842098,5600,-1.7802841663360596
1773866785.360275,6000,-1.909873604774475
1773866805.796136,6400,-1.6136313676834106
1773866823.326139,6800,-2.0626909732818604
1773866841.237737,7200,-1.8183822631835938
1773866859.5838778,7600,-0.6699965000152588
1773866882.131097,8000,-0.3270064890384674
1773866901.943421,8400,-0.10488780587911606
1773866919.5479062,8800,0.29957494139671326
1773866941.265641,9200,0.7519256472587585
1773866961.882378,9600,1.241989016532898
1773866988.808055,10000,1.9973781108856201
1773867007.785436,10400,2.56156325340271
1773867033.777645,10800,2.8792498111724854
1773867059.861183,11200,3.1725680828094482
1773867085.1668491,11600,3.533076286315918
1773867107.0257652,12000,4.426662445068359
1773867130.058903,12400,4.958926677703857
1773867153.471618,12800,6.205105781555176
1773867173.310591,13200,7.22191047668457
1773867193.384332,13600,7.678093433380127
1773867210.956866,14000,8.648462295532227
1773867229.691457,14400,9.517295837402344
1773867252.686618,14800,10.834200859069824
1773867279.8290198,15200,11.509936332702637
1773867298.8486211,15600,13.012986183166504
1773867317.752095,16000,13.816935539245605
1773867337.5334349,16400,15.099374771118164
1773867355.869607,16800,15.654860496520996
1773867375.6791198,17200,16.357881546020508
1773867395.5914218,17600,16.565950393676758
1773867416.304575,18000,17.769620895385742
1773867436.032765,18400,18.864688873291016
1773867456.455942,18800,19.70616912841797
1773867475.242937,19200,20.265865325927734
1773867500.688231,19600,21.482868194580078
1773867527.790184,20000,21.993738174438477
1773867545.4807649,20400,22.965776443481445
1773867562.5422,20800,22.731246948242188
1773867583.6881669,21200,22.249553680419922
1773867602.4331,21600,23.707807540893555
1773867620.052305,22000,25.058841705322266
1773867640.129164,22400,25.93686866760254
1773867660.238251,22800,26.9847412109375
1773867677.5963368,23200,26.70625877380371
1773867694.167937,23600,28.235843658447266
1773867712.526093,24000,29.149585723876953
1773867735.392493,24400,28.720239639282227
1773867757.557,24800,28.136863708496094
1773867779.293002,25200,29.581384658813477
1773867799.001036,25600,30.20130729675293
1773867817.405827,26000,30.87238311767578
1773867835.2610738,26400,31.076797485351562
1773867853.116298,26800,33.183536529541016
1773867874.269213,27200,34.74882507324219
1773867894.074801,27600,34.84465408325195
1773867911.67024,28000,35.63805389404297
1773867929.815087,28400,36.20070266723633
1773867951.239886,28800,37.09975051879883
1773867969.8232908,29200,38.421573638916016
1773867989.159233,29600,38.83333206176758
1773868011.0033128,30000,39.789344787597656
1773868029.498091,30400,39.93781661987305
1773868048.840404,30800,41.446807861328125
1773868069.344563,31200,43.866119384765625
1773868088.381979,31600,42.71316909790039
1773868107.712517,32000,43.150062561035156
1773868126.3111172,32400,44.04883575439453
1773868144.376663,32800,43.940494537353516
1773868162.2875462,33200,45.33974838256836
1773868180.308326,33600,45.80034255981445
1773868198.1101592,34000,46.597164154052734
1773868215.590204,34400,47.67947769165039
1773868233.0857751,34800,49.38523864746094
1773868255.532375,35200,49.00735092163086
1773868273.152396,35600,49.462032318115234
1773868290.6678998,36000,50.550235748291016
1773868308.151478,36400,50.536773681640625
1773868328.6001668,36800,50.86574172973633
1773868353.807572,37200,50.85045623779297
1773868386.118906,37600,52.4066047668457
1773868408.621233,38000,52.59473419189453
1773868427.9377978,38400,53.394893646240234
1773868447.2524102,38800,53.75123977661133
1773868466.6122482,39200,53.98494338989258
1773868486.8757381,39600,54.678253173828125
1773868509.838308,40000,54.793087005615234
1773868526.987477,40400,55.44633483886719
1773868544.964031,40800,55.84074783325195
1773868564.923437,41200,56.39510726928711
1773868587.665955,41600,58.71249008178711
1773868605.658997,42000,58.74649429321289
1773868627.177957,42400,59.520965576171875
1773868645.935891,42800,60.53789138793945
1773868664.5176058,43200,61.01133346557617
1773868686.776421,43600,61.356849670410156
1773868719.91216,44000,61.590267181396484
1773868746.14319,44400,62.57845687866211
1773868770.6574268,44800,63.2421760559082
1773868796.544401,45200,64.64490509033203
1773868815.400629,45600,64.7635269165039
1773868834.477049,46000,65.24778747558594
1773868853.52016,46400,66.58413696289062
1773868873.2069938,46800,66.72103881835938
