Step,Value
4.0,4.614724636077881
8.0,6.010942459106445
12.0,5.416530609130859
16.0,2.825929880142212
20.0,0.7068619728088379
24.0,-0.3800249993801117
28.0,-2.0205986499786377
32.0,-2.077693462371826
36.0,-1.9454693794250488
40.0,-1.9980374574661253
44.0,-1.1796531677246094
48.0,-1.5609681606292725
52.0,-1.8445554971694944
56.0,-1.7802841663360596
60.0,-1.909873604774475
64.0,-1.6136313676834106
68.0,-2.0626909732818604
72.0,-1.8183822631835935
76.0,-0.6699965000152588
80.0,-0.3270064890384674
84.0,-0.104887805879116
88.0,0.2995749413967132
92.0,0.7519256472587585
96.0,1.241989016532898
100.0,1.99737811088562
104.0,2.56156325340271
108.0,2.8792498111724854
112.0,3.172568082809448
116.0,3.533076286315918
120.0,4.426662445068359
124.0,4.958926677703857
128.0,6.205105781555176
132.0,7.22191047668457
136.0,7.678093433380127
140.0,8.648462295532227
144.0,9.517295837402344
148.0,10.834200859069824
152.0,11.509936332702637
156.0,13.012986183166504
160.0,13.816935539245604
164.0,15.099374771118164
168.0,15.654860496520996
172.0,16.357881546020508
176.0,16.565950393676758
180.0,17.769620895385742
184.0,18.864688873291016
188.0,19.70616912841797
192.0,20.26586532592773
196.0,21.48286819458008
200.0,21.99373817443848
204.0,22.965776443481445
208.0,22.731246948242188
212.0,22.24955368041992
216.0,23.707807540893555
220.0,25.058841705322266
224.0,25.93686866760254
228.0,26.9847412109375
232.0,26.70625877380371
236.0,28.235843658447266
240.0,29.149585723876957
244.0,28.720239639282227
248.0,28.136863708496094
252.0,29.58138465881348
256.0,30.20130729675293
260.0,30.87238311767578
264.0,31.07679748535156
268.0,33.183536529541016
272.0,34.74882507324219
276.0,34.84465408325195
280.0,35.63805389404297
284.0,36.20070266723633
288.0,37.09975051879883
292.0,38.421573638916016
296.0,38.83333206176758
300.0,39.789344787597656
304.0,39.93781661987305
308.0,41.446807861328125
312.0,43.866119384765625
316.0,42.71316909790039
320.0,43.15006256103516
324.0,44.04883575439453
328.0,43.94049453735352
332.0,45.33974838256836
336.0,45.80034255981445
340.0,46.597164154052734
344.0,47.67947769165039
348.0,49.38523864746094
352.0,49.00735092163086
356.0,49.462032318115234
360.0,50.550235748291016
364.0,50.53677368164063
368.0,50.86574172973633
372.0,50.85045623779297
376.0,52.4066047668457
380.0,52.59473419189453
384.0,53.39489364624024
388.0,53.75123977661133
392.0,53.98494338989258
396.0,54.678253173828125
400.0,54.793087005615234
404.0,55.44633483886719
408.0,55.84074783325195
412.0,56.39510726928711
416.0,58.71249008178711
420.0,58.74649429321289
424.0,59.52096557617188
428.0,60.53789138793945
432.0,61.01133346557617
436.0,61.35684967041016
440.0,61.59026718139648
444.0,62.57845687866211
448.0,63.2421760559082
452.0,64.64490509033203
456.0,64.7635269165039
460.0,65.24778747558594
464.0,66.58413696289062
468.0,66.72103881835938
472.0,67.2416000366211
476.0,67.4545669555664
480.0,67.8724365234375
484.0,67.95931243896484
488.0,68.33390045166016
492.0,68.39875030517578
496.0,68.44731903076172
500.0,69.0011215209961
504.0,69.24665832519531
508.0,69.95440673828125
512.0,69.89594268798828
516.0,69.88033294677734
520.0,70.54270935058594
524.0,70.79524993896484
528.0,70.78595733642578
532.0,70.90572357177734
536.0,71.2742919921875
540.0,71.2749252319336
544.0,70.7931900024414
548.0,70.82196807861328
552.0,70.95081329345703
556.0,70.99697875976562
560.0,70.82510375976562
564.0,70.30510711669922
568.0,70.42169189453125
572.0,70.69374084472656
576.0,70.64513397216797
580.0,70.83858489990234
584.0,71.18831634521484
588.0,71.26264953613281
592.0,71.71197509765625
596.0,71.79976654052734
600.0,71.6142578125
604.0,71.63404846191406
608.0,71.4189682006836
612.0,71.41989135742188
616.0,71.69689178466797
620.0,71.50184631347656
624.0,71.56903839111328
628.0,71.74906158447266
632.0,72.18740844726562
636.0,71.959716796875
640.0,71.66644287109375
644.0,72.44402313232422
648.0,72.52909851074219
652.0,72.30421447753906
656.0,72.62007904052734
660.0,72.86676025390625
664.0,73.67607116699219
668.0,73.9771957397461
672.0,74.03926849365234
676.0,73.96675872802734
680.0,73.71453857421875
684.0,73.91690826416016
688.0,73.85175323486328
692.0,73.8539047241211
696.0,73.49324798583984
700.0,73.57861328125
704.0,73.71029663085938
708.0,73.62466430664062
712.0,73.57379150390625
716.0,73.33390045166016
720.0,73.38706970214844
724.0,73.3441162109375
728.0,73.50435638427734
732.0,73.61911010742188
736.0,74.0150375366211
740.0,74.43411254882812
744.0,74.52355194091797
748.0,74.59086608886719
752.0,74.88263702392578
756.0,74.9764404296875
760.0,74.94731903076172
764.0,74.55463409423828
768.0,74.15019989013672
772.0,74.00738525390625
776.0,74.06915283203125
780.0,74.25399780273438
784.0,74.20707702636719
788.0,74.23829650878906
792.0,74.19108581542969
796.0,74.82128143310547
800.0,74.74334716796875
804.0,74.23800659179688
808.0,74.32878112792969
812.0,74.36370849609375
